model,condition,role,emotion,zscore
gemma3,depression,therapist,anger,-1.6643815925209686
gemma3,depression,therapist,trust,2.418575384741495
gemma3,depression,therapist,surprise,1.0524923827753527
gemma3,depression,therapist,disgust,-1.8814753383110583
gemma3,depression,therapist,joy,1.2248772394733147
gemma3,depression,therapist,sadness,-0.10456609162645077
gemma3,depression,therapist,fear,-0.621505200179604
gemma3,depression,therapist,anticipation,2.441185655606236
gemma3,depression,patient,anger,-1.4170583209203511
gemma3,depression,patient,trust,1.6121307022050666
gemma3,depression,patient,surprise,1.2911080729460866
gemma3,depression,patient,disgust,-1.2293299500738746
gemma3,depression,patient,joy,0.8502516742965655
gemma3,depression,patient,sadness,0.9505541556832691
gemma3,depression,patient,fear,-0.4219821944084395
gemma3,depression,patient,anticipation,2.1647427246393236
gemma3,anxiety,therapist,anger,-1.0517487155556606
gemma3,anxiety,therapist,trust,1.7532162811610161
gemma3,anxiety,therapist,surprise,1.1163305946768176
gemma3,anxiety,therapist,disgust,-1.2615149378578623
gemma3,anxiety,therapist,joy,0.641879662709102
gemma3,anxiety,therapist,sadness,-0.19033161953588937
gemma3,anxiety,therapist,fear,0.48946222698918534
gemma3,anxiety,therapist,anticipation,2.362645094635262
gemma3,anxiety,patient,anger,-1.1437788472551738
gemma3,anxiety,patient,trust,1.4472866371380524
gemma3,anxiety,patient,surprise,0.8797900628255584
gemma3,anxiety,patient,disgust,-0.9243071442129677
gemma3,anxiety,patient,joy,0.43168720111474007
gemma3,anxiety,patient,sadness,0.5498231778647158
gemma3,anxiety,patient,fear,-0.08383681363021066
gemma3,anxiety,patient,anticipation,1.753449422812487
llama3.3,depression,therapist,anger,-3.5735061852543817
llama3.3,depression,therapist,trust,3.0528103952310413
llama3.3,depression,therapist,surprise,0.6058817979809199
llama3.3,depression,therapist,disgust,-3.4337513325384674
llama3.3,depression,therapist,joy,4.409867849656775
llama3.3,depression,therapist,sadness,0.5762649861808337
llama3.3,depression,therapist,fear,-2.232976081241816
llama3.3,depression,therapist,anticipation,3.1137024694539224
llama3.3,depression,patient,anger,-2.9329944160765806
llama3.3,depression,patient,trust,2.6204265049944215
llama3.3,depression,patient,surprise,1.6880686454380813
llama3.3,depression,patient,disgust,-2.339431243396235
llama3.3,depression,patient,joy,4.16784234239609
llama3.3,depression,patient,sadness,0.6071846014080602
llama3.3,depression,patient,fear,-2.4579047658413593
llama3.3,depression,patient,anticipation,2.748715040502148
llama3.3,anxiety,therapist,anger,-2.4187579289193333
llama3.3,anxiety,therapist,trust,1.6997833243765001
llama3.3,anxiety,therapist,surprise,0.614912930889952
llama3.3,anxiety,therapist,disgust,-2.6002015935158136
llama3.3,anxiety,therapist,joy,2.0734667362055252
llama3.3,anxiety,therapist,sadness,0.84533256465115
llama3.3,anxiety,therapist,fear,-0.7456550873621544
llama3.3,anxiety,therapist,anticipation,2.4018902911579563
llama3.3,anxiety,patient,anger,-1.8993178843158265
llama3.3,anxiety,patient,trust,0.9333256461923657
llama3.3,anxiety,patient,surprise,1.7839074502308583
llama3.3,anxiety,patient,disgust,-1.4600145880368365
llama3.3,anxiety,patient,joy,1.6312397838053772
llama3.3,anxiety,patient,sadness,1.1522264314566122
llama3.3,anxiety,patient,fear,-1.5051884107758624
llama3.3,anxiety,patient,anticipation,1.9695677184088598
